song,artist
R U Mine?,Arctic Monkeys
Why'd You Only Call Me When You're High?,Arctic Monkeys
There Is a Light That Never Goes Out,The Smiths
How Soon Is Now?,The Smiths
This Charming Man,The Smiths
Bigmouth Strikes Again,The Smiths
Love Will Tear Us Apart,Joy Division
Atmosphere,Joy Division
Disorder,Joy Division
Friday I'm in Love,The Cure
Just Like Heaven,The Cure
Lovesong,The Cure
Boys Don't Cry,The Cure
With or Without You,U2
I Still Haven't Found What I'm Looking For,U2
One,U2
Beautiful Day,U2
Where the Streets Have No Name,U2
When Doves Cry,Prince & The Revolution
Purple Rain,Prince & The Revolution
1999,Prince & The Revolution
Kiss,Prince & The Revolution
Little Red Corvette,Prince & The Revolution
Billie Jean,Michael Jackson
Beat It,Michael Jackson
Thriller,Michael Jackson
Man in the Mirror,Michael Jackson
Smooth Criminal,Michael Jackson
Bad,Michael Jackson
The Way You Make Me Feel,Michael Jackson
I Will Always Love You,Whitney Houston
Like a Virgin,Madonna
Material Girl,Madonna
Vogue,Madonna
Like a Prayer,Madonna
Into the Groove,Madonna
Papa Don't Preach,Madonna
...Baby One More Time,Britney Spears
Toxic,Britney Spears
Oops!... I Did It Again,Britney Spears
Stronger,Britney Spears
Crazy in Love,Beyoncé
Single Ladies (Put a Ring on It),Beyoncé
Halo,Beyoncé
Irreplaceable,Beyoncé
If I Were a Boy,Beyoncé
Rolling in the Deep,Adele
Someone Like You,Adele
Hello,Adele
Set Fire to the Rain,Adele
Skyfall,Adele
Chasing Pavements,Adele
Rehab,Amy Winehouse
Back to Black,Amy Winehouse
Valerie,Amy Winehouse
Tears Dry on Their Own,Amy Winehouse
You Know I'm No Good,Amy Winehouse
Royals,Lorde
Team,Lorde
Yellow Flicker Beat,Lorde
Tennis Court,Lorde
Video Games,Lana Del Rey
Born to Die,Lana Del Rey
Summertime Sadness,Lana Del Rey
Young and Beautiful,Lana Del Rey
Dog Days Are Over,Florence + The Machine
Shake It Out,Florence + The Machine
Spectrum,Florence + The Machine
Hunger,Florence + The Machine
Chandelier,Sia
Cheap Thrills,Sia
Elastic Heart,Sia
Titanium,Sia
Alright,Kendrick Lamar
HUMBLE.,Kendrick Lamar
DNA.,Kendrick Lamar
Swimming Pools (Drank),Kendrick Lamar
King Kunta,Kendrick Lamar
Lose Yourself,Eminem
Stan,Eminem
The Real Slim Shady,Eminem
Without Me,Eminem
Love the Way You Lie,Eminem
Hotline Bling,Drake
God's Plan,Drake
"Hold On, We're Going Home",Drake
One Dance,Drake
Gold Digger,Kanye West
Stronger,Kanye West
Heartless,Kanye West
Power,Kanye West
Flashing Lights,Kanye West
Hey Ya!,OutKast
Ms. Jackson,OutKast
Roses,OutKast
"So Fresh, So Clean",OutKast
Doo Wop (That Thing),Lauryn Hill
Ex-Factor,Lauryn Hill
Everything Is Everything,Lauryn Hill
Blinding Lights,The Weeknd
Can't Feel My Face,The Weeknd
Starboy,The Weeknd
The Hills,The Weeknd
Still D.R.E.,Dr. Dre
The Next Episode,Dr. Dre
Drop It Like It's Hot,Snoop Dogg
Gin and Juice,Snoop Dogg
"Thank U, Next",Ariana Grande
7 rings,Ariana Grande
No Tears Left to Cry,Ariana Grande
Love Story,Taylor Swift
Blank Space,Taylor Swift
Shake It Off,Taylor Swift
You Belong with Me,Taylor Swift
Cardigan,Taylor Swift
Anti-Hero,Taylor Swift
All Too Well,Taylor Swift
Shape of You,Ed Sheeran
Thinking Out Loud,Ed Sheeran
Perfect,Ed Sheeran
Photograph,Ed Sheeran
Castle on the Hill,Ed Sheeran
Stay With Me,Sam Smith
I'm Not the Only One,Sam Smith
Lay Me Down,Sam Smith
Imagine,John Lennon
Instant Karma!,John Lennon
Jealous Guy,John Lennon
Watching the Wheels,John Lennon
You Can Call Me Al,Paul Simon
Graceland,Paul Simon
Me and Julio Down by the Schoolyard,Paul Simon
American Pie,Don McLean
Vincent (Starry Starry Night),Don McLean
Heart of Gold,Neil Young
Old Man,Neil Young
Harvest Moon,Neil Young
Brown Eyed Girl,Van Morrison
Moondance,Van Morrison
Into the Mystic,Van Morrison
Free Fallin',Tom Petty
American Girl,Tom Petty
I Won't Back Down,Tom Petty
Doll Parts,Courtney Love / Hole
Celebrity Skin,Courtney Love / Hole
Zombie,The Cranberries
Linger,The Cranberries
Dreams,The Cranberries
Bring Me to Life,Evanescence
My Immortal,Evanescence
Chicago,Sufjan Stevens
Mystery of Love,Sufjan Stevens
Livin' on a Prayer,Bon Jovi
You Give Love a Bad Name,Bon Jovi
Wanted Dead or Alive,Bon Jovi
Bed of Roses,Bon Jovi
Africa,Toto
Rosanna,Toto
This Love,Maroon 5
She Will Be Loved,Maroon 5
Moves Like Jagger,Maroon 5
Take Me to Church,Hozier
Cherry Wine,Hozier
Somebody That I Used to Know,Gotye
Every Breath You Take,The Police
Roxanne,The Police
Message in a Bottle,The Police
Waterfalls,TLC
No Scrubs,TLC
Say My Name,Destiny's Child
Survivor,Destiny's Child
Bootylicious,Destiny's Child
My Heart Will Go On,Celine Dion
The Power of Love,Celine Dion
Smooth Operator,Sade
No Ordinary Love,Sade
"No Woman, No Cry",Bob Marley
One Love,Bob Marley
Three Little Birds,Bob Marley
Redemption Song,Bob Marley
A Change Is Gonna Come,Sam Cooke
Wonderful World,Sam Cooke
Lean on Me,Bill Withers
Ain't No Sunshine,Bill Withers
(Sittin' On) The Dock of the Bay,Otis Redding
Crazy,Patsy Cline
I Fall to Pieces,Patsy Cline
Jolene,Dolly Parton
I Will Always Love You,Dolly Parton
Ring of Fire,Johnny Cash
Folsom Prison Blues,Johnny Cash
I Walk the Line,Johnny Cash
Hurt,Johnny Cash
Hit the Road Jack,Ray Charles
Georgia on My Mind,Ray Charles
I Got a Woman,Ray Charles
Fly Me to the Moon,Frank Sinatra
My Way,Frank Sinatra
"New York, New York",Frank Sinatra
I've Got You Under My Skin,Frank Sinatra
Unforgettable,Nat King Cole
Mona Lisa,Nat King Cole
L-O-V-E,Nat King Cole
Dream a Little Dream of Me,Ella Fitzgerald
Someone to Watch Over Me,Ella Fitzgerald
It Don't Mean a Thing (If It Ain't Got That Swing),Duke Ellington
I Will Survive,Gloria Gaynor
Dancing Queen,ABBA
Mamma Mia,ABBA
Fernando,ABBA
Take a Chance on Me,ABBA
I Want You Back,The Jackson 5
ABC,The Jackson 5
I'll Be There,The Jackson 5
Stuck in the Middle with You,Stealers Wheel
The Weight,The Band
Up on Cripple Creek,The Band
Fortunate Son,Creedence Clearwater Revival
Bad Moon Rising,Creedence Clearwater Revival
Have You Ever Seen the Rain,Creedence Clearwater Revival
Down on the Corner,Creedence Clearwater Revival
Good Vibrations,The Beach Boys
God Only Knows,The Beach Boys
Wouldn't It Be Nice,The Beach Boys
Surfin' U.S.A.,The Beach Boys
I'm a Believer,The Monkees
Daydream Believer,The Monkees
Rock the Casbah,The Clash
London Calling,The Clash
Should I Stay or Should I Go,The Clash
Blitzkrieg Bop,The Ramones
I Wanna Be Sedated,The Ramones
Sabotage,Beastie Boys
Intergalactic,Beastie Boys
Fight the Power,Public Enemy
Everybody Wants to Rule the World,Tears for Fears
Shout,Tears for Fears
Sweet Dreams (Are Made of This),Eurythmics
Here Comes the Rain Again,Eurythmics
Solsbury Hill,Peter Gabriel
In Your Eyes,Peter Gabriel
Sledgehammer,Peter Gabriel
Alison,Elvis Costello
Watching the Detectives,Elvis Costello
Into My Arms,Nick Cave
Red Right Hand,Nick Cave
Pale Blue Eyes,The Velvet Underground
Sweet Jane,The Velvet Underground
Light My Fire,The Doors
Riders on the Storm,The Doors
People Are Strange,The Doors
Hallelujah,Jeff Buckley
Grace,Jeff Buckley
Last Goodbye,Jeff Buckley
Ironic,Alanis Morissette
You Oughta Know,Alanis Morissette
Hand in My Pocket,Alanis Morissette
Thank U,Alanis Morissette
Diamonds,Rihanna
Umbrella,Rihanna
Only Girl (In the World),Rihanna
Firework,Katy Perry
Roar,Katy Perry
Teenage Dream,Katy Perry
Hips Don't Lie,Shakira
"Whenever, Wherever",Shakira
Super Bass,Nicki Minaj
Starships,Nicki Minaj
Wrecking Ball,Miley Cyrus
Flowers,Miley Cyrus
The Climb,Miley Cyrus
Drivers License,Olivia Rodrigo
Good 4 U,Olivia Rodrigo
Deja Vu,Olivia Rodrigo
Bad Guy,Billie Eilish
Everything I Wanted,Billie Eilish
Ocean Eyes,Billie Eilish
Get Lucky,Daft Punk
One More Time,Daft Punk
"Harder, Better, Faster, Stronger",Daft Punk
People Get Ready,Curtis Mayfield
Move On Up,Curtis Mayfield
Ho Hey,The Lumineers
Ophelia,The Lumineers
I Will Wait,Mumford & Sons
Little Lion Man,Mumford & Sons
I and Love and You,The Avett Brothers
Wake Up,Arcade Fire
Reflektor,Arcade Fire
Rebellion (Lies),Arcade Fire
A-Punk,Vampire Weekend
Oxford Comma,Vampire Weekend
Skinny Love,Bon Iver
Holocene,Bon Iver
Bloodbuzz Ohio,The National
I Need My Girl,The National
Angels,The xx
A Horse with No Name,America
Ventura Highway,America
Cecilia,Simon & Garfunkel
Baby I Love Your Way,Peter Frampton
Show Me the Way,Peter Frampton
Maggie May,Rod Stewart
Forever Young,Rod Stewart
Killing Me Softly with His Song,Roberta Flack
The First Time Ever I Saw Your Face,Roberta Flack
Blue Bayou,Roy Orbison
"Oh, Pretty Woman",Roy Orbison
Only the Lonely,Roy Orbison
Crying,Roy Orbison
Proud Mary,Creedence Clearwater Revival
Runaway,Del Shannon
Be My Baby,The Ronettes
Will You Love Me Tomorrow,The Shirelles
Leader of the Pack,The Shangri-Las
Stand By Me,Ben E. King
Dock of the Bay,Otis Redding
Try a Little Tenderness,Otis Redding
Walk on By,Dionne Warwick
I Say a Little Prayer,Dionne Warwick
Son of a Preacher Man,Dusty Springfield
You Don't Own Me,Lesley Gore
The Twist,Chubby Checker
Only Loving You,Various
Sweet Home Alabama,Lynyrd Skynyrd
Free Bird,Lynyrd Skynyrd
Simple Man,Lynyrd Skynyrd
Ramblin' Man,The Allman Brothers Band
Melissa,The Allman Brothers Band
Midnight Rider,The Allman Brothers Band
Mr. Tambourine Man,The Byrds
Turn! Turn! Turn!,The Byrds
"No Woman, No Cry",Bob Marley & The Wailers
One Love,Bob Marley & The Wailers
Three Little Birds,Bob Marley & The Wailers
Redemption Song,Bob Marley & The Wailers
Brown Sugar,The Rolling Stones
Helter Skelter,The Beatles
Lady Madonna,The Beatles
"Ob-La-Di, Ob-La-Da",The Beatles
Golden Slumbers,The Beatles
Get Back,The Beatles
Don't Be Cruel,Elvis Presley
Return to Sender,Elvis Presley
It's Now or Never,Elvis Presley
Subterranean Homesick Blues,Bob Dylan
Positively 4th Street,Bob Dylan
New York State of Mind,Billy Joel
She's Always a Woman,Billy Joel
Honky Cat,Elton John
Saturday Night's Alright for Fighting,Elton John
Cover Me,Bruce Springsteen
Hungry Heart,Bruce Springsteen
I'm on Fire,Bruce Springsteen
When We Were Young,Adele
Bad Blood,Taylor Swift
Delicate,Taylor Swift
The A Team,Ed Sheeran
Galway Girl,Ed Sheeran
Problem,Ariana Grande
Break Free,Ariana Grande
Positions,Ariana Grande
Poetic Justice,Kendrick Lamar
Money Trees,Kendrick Lamar
"Bitch, Don't Kill My Vibe",Kendrick Lamar
Nice for What,Drake
Started From the Bottom,Drake
Take Care,Drake
Twistin' the Night Away,Sam Cooke
I Got You (I Feel Good),James Brown
Papa's Got a Brand New Bag,James Brown
(Sittin' On) The Dock of the Bay,Otis Redding
